Datetime,Open,High,Low,Close,Volume
2025-07-28 13:30:00+00:00,174.02000427246094,175.3699951171875,173.97000122070312,175.07000732421875,12458805
2025-07-28 13:35:00+00:00,175.0800018310547,175.13999938964844,174.36000061035156,174.41839599609375,3870037
2025-07-28 13:40:00+00:00,174.41990661621094,174.89999389648438,174.24000549316406,174.73500061035156,2773343
2025-07-28 13:45:00+00:00,174.73500061035156,175.24000549316406,174.7100067138672,175.17999267578125,3431347
2025-07-28 13:50:00+00:00,175.18499755859375,175.3000030517578,175.02000427246094,175.02499389648438,2198753
2025-07-28 13:55:00+00:00,175.0200958251953,175.4600067138672,174.82000732421875,175.42999267578125,2588234
2025-07-28 14:00:00+00:00,175.4199981689453,175.57000732421875,174.83999633789062,174.8751983642578,3040430
2025-07-28 14:05:00+00:00,174.875,175.0,174.6999969482422,174.9001007080078,2155899
2025-07-28 14:10:00+00:00,174.90499877929688,175.0500030517578,174.57000732421875,174.69500732421875,2240963
2025-07-28 14:15:00+00:00,174.69500732421875,175.02000427246094,174.6300048828125,174.87350463867188,1838184
2025-07-28 14:20:00+00:00,174.87989807128906,175.14999389648438,174.6699981689453,174.98500061035156,2088755
2025-07-28 14:25:00+00:00,174.9949951171875,175.08999633789062,174.8000030517578,174.9250030517578,1421540
2025-07-28 14:30:00+00:00,174.9199981689453,175.24000549316406,174.88999938964844,175.06500244140625,1214398
2025-07-28 14:35:00+00:00,175.05999755859375,175.1855010986328,174.9550018310547,175.18499755859375,1921251
2025-07-28 14:40:00+00:00,175.17999267578125,175.25999450683594,175.00999450683594,175.05880737304688,1315274
2025-07-28 14:45:00+00:00,175.05499267578125,175.14999389648438,175.00999450683594,175.00999450683594,767958
2025-07-28 14:50:00+00:00,175.0,175.0500030517578,174.86000061035156,175.02499389648438,1204140
2025-07-28 14:55:00+00:00,175.02999877929688,175.06979370117188,174.87010192871094,175.0449981689453,686007
2025-07-28 15:00:00+00:00,175.02499389648438,175.16000366210938,174.86000061035156,174.96499633789062,1284666
2025-07-28 15:05:00+00:00,174.9600067138672,175.19000244140625,174.9199981689453,175.1085968017578,947143
2025-07-28 15:10:00+00:00,175.11000061035156,175.1699981689453,174.97999572753906,175.07000732421875,843138
2025-07-28 15:15:00+00:00,175.0749969482422,175.10000610351562,174.61000061035156,174.69000244140625,1451309
2025-07-28 15:20:00+00:00,174.6699981689453,174.7100067138672,174.2550048828125,174.60000610351562,2827858
2025-07-28 15:25:00+00:00,174.60499572753906,174.94000244140625,174.5800018310547,174.92999267578125,1294768
2025-07-28 15:30:00+00:00,174.9250030517578,175.04989624023438,174.89999389648438,174.9219970703125,1055322
2025-07-28 15:35:00+00:00,174.92160034179688,175.02999877929688,174.86000061035156,174.98480224609375,773330
2025-07-28 15:40:00+00:00,174.98500061035156,175.10000610351562,174.94000244140625,174.97999572753906,656359
2025-07-28 15:45:00+00:00,174.97999572753906,175.10000610351562,174.9499969482422,175.0850067138672,619694
2025-07-28 15:50:00+00:00,175.08999633789062,175.10000610351562,174.9499969482422,174.98500061035156,593599
2025-07-28 15:55:00+00:00,174.98500061035156,175.10000610351562,174.92999267578125,174.9550018310547,1486011
2025-07-28 16:00:00+00:00,174.9550018310547,175.01499938964844,174.875,174.97000122070312,607502
2025-07-28 16:05:00+00:00,174.9718017578125,174.9799041748047,174.77000427246094,174.83999633789062,612959
2025-07-28 16:10:00+00:00,174.83999633789062,174.97999572753906,174.75,174.86929321289062,750016
2025-07-28 16:15:00+00:00,174.86500549316406,174.8800048828125,174.67999267578125,174.86990356445312,785843
2025-07-28 16:20:00+00:00,174.8679962158203,175.13999938964844,174.85000610351562,175.05999755859375,1181193
2025-07-28 16:25:00+00:00,175.05999755859375,175.0800018310547,174.9799041748047,175.0299072265625,492232
2025-07-28 16:30:00+00:00,175.02020263671875,175.0399932861328,174.91000366210938,174.91990661621094,519191
2025-07-28 16:35:00+00:00,174.9149932861328,175.02000427246094,174.8699951171875,174.91819763183594,515718
2025-07-28 16:40:00+00:00,174.9149932861328,175.0399932861328,174.8300018310547,174.8300018310547,552149
