,Open,High,Low,Close,Volume,Returns
2025-07-28 13:30:00,174.02000427246094,175.3699951171875,173.97000122070312,175.07000732421875,12458805.0,5.416848347410912e-05
2025-07-28 14:30:00,174.9199981689453,175.24000549316406,174.88999938964844,175.06500244140625,1214398.0,5.416848347410912e-05
2025-07-28 15:30:00,174.9250030517578,175.04989624023438,174.89999389648438,174.9219970703125,1055322.0,5.416848347410912e-05
2025-07-28 16:30:00,175.02020263671875,175.0399932861328,174.91000366210938,174.91990661621094,519191.0,5.416848347410912e-05
2025-07-28 17:30:00,175.1999969482422,175.47999572753906,175.19869995117188,175.41009521484375,1342621.0,5.416848347410912e-05
2025-07-28 18:30:00,175.47999572753906,175.5399932861328,175.3000030517578,175.37530517578125,854763.0,5.416848347410912e-05
2025-07-28 19:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-28 20:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-28 21:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-28 22:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-28 23:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 00:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 01:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 02:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 03:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 04:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 05:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 06:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 07:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 08:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 09:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 10:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 11:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 12:30:00,176.16000366210938,176.17999267578125,175.89999389648438,175.9949951171875,1824781.0,5.416848347410912e-05
2025-07-29 13:30:00,177.9600067138672,178.52000427246094,177.6300048828125,178.30589294433594,15683931.0,5.416848347410912e-05
2025-07-29 14:30:00,178.14999389648438,178.49839782714844,178.13999938964844,178.4149932861328,1714963.0,5.416848347410912e-05
2025-07-29 15:30:00,175.85499572753906,176.5500030517578,175.85000610351562,176.42999267578125,2525324.0,5.416848347410912e-05
2025-07-29 16:30:00,176.34500122070312,176.53500366210938,176.2700958251953,176.341796875,1429466.0,5.416848347410912e-05
2025-07-29 17:30:00,176.1999969482422,176.2949981689453,176.0399932861328,176.06719970703125,629072.0,5.416848347410912e-05
2025-07-29 18:30:00,176.2050018310547,176.49000549316406,176.19500732421875,176.47000122070312,856653.0,5.416848347410912e-05
2025-07-29 19:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-29 20:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-29 21:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-29 22:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-29 23:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-30 00:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-30 01:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-30 02:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-30 03:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-30 04:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
2025-07-30 05:30:00,175.8300018310547,175.97039794921875,175.77999877929688,175.7899932861328,1080545.0,5.416848347410912e-05
